fecha,region,producto,categoria,cliente,vendedor,cantidad,precio_unitario,monto_total
2023-01-01,Cusco,Data Warehouse,Licencias,Frutas de Exportacion Olmos S.A.,Patricia Vargas,6,16677.68,100066.08
2023-01-02,Arequipa,Auditoria de Datos,Consultoria,Energia Renovable Ica S.A.C.,Ana Quispe,7,3500.69,24504.83
2023-01-03,Lima,Auditoria de Datos,Consultoria,Hoteles Cusco Imperial S.A.C.,Ana Quispe,1,7703.12,7703.12
2023-01-04,Lima,Capacitacion Analytics,Capacitacion,Transportes Andino Express S.A.C.,Miguel Torres,9,500.94,4508.46
2023-01-05,Piura,Migracion Cloud,Consultoria,Gas Natural Altiplano S.A.C.,Diego Fernandez,1,15165.76,15165.76
2023-01-06,Arequipa,Dashboard Corporativo,Licencias,Alimentos Selva Verde S.A.C.,Carlos Mendoza,8,2897.02,23176.16
2023-01-06,Lima,Dashboard Corporativo,Licencias,Molinos San Agustin S.A.A.,Diego Fernandez,8,6822.97,54583.76
2023-01-06,Arequipa,Capacitacion Analytics,Capacitacion,Clinica San Bernardo S.A.,Ana Quispe,4,1265.98,5063.92
2023-01-07,Arequipa,Capacitacion Analytics,Capacitacion,Banco Continental del Sur S.A.A.,Jorge Salazar,5,1301.91,6509.55
2023-01-08,Trujillo,Modelo Predictivo,Consultoria,Corporacion Avicola Piurana S.A.,Lucia Ramirez,2,14877.4,29754.8
2023-01-12,Trujillo,Capacitacion Analytics,Capacitacion,Textiles Pima Norte S.A.C.,Miguel Torres,1,626.01,626.01
2023-01-13,Arequipa,Capacitacion Analytics,Capacitacion,Aceros del Rimac S.A.A.,Jorge Salazar,7,679.93,4759.51
2023-01-14,Lima,Dashboard Corporativo,Licencias,Corporacion Avicola Piurana S.A.,Ana Quispe,3,5085.03,15255.09
2023-01-15,Piura,Dashboard Corporativo,Licencias,Distribuidora Molina Hermanos S.A.C.,Lucia Ramirez,5,3860.67,19303.35
2023-01-17,Lima,Migracion Cloud,Consultoria,Tecnologia Medica Vitalis S.A.C.,Carlos Mendoza,9,18957.33,170615.97
2023-01-17,Lima,Modelo Predictivo,Consultoria,Molinos San Agustin S.A.A.,Patricia Vargas,7,7393.43,51754.01
2023-01-20,Cusco,Capacitacion Analytics,Capacitacion,Cerveceria Del Valle S.A.C.,Carlos Mendoza,6,542.98,3257.88
2023-01-20,Trujillo,Dashboard Corporativo,Licencias,Gas Natural Altiplano S.A.C.,Jorge Salazar,8,6505.1,52040.8
2023-01-20,Lima,Integracion ERP,Consultoria,Retail Plaza Sur S.A.C.,Jorge Salazar,7,13379.57,93656.99
2023-01-21,Arequipa,Modelo Predictivo,Consultoria,Cementos Huascaran S.A.A.,Miguel Torres,2,16851.1,33702.2
2023-01-24,Trujillo,Capacitacion Analytics,Capacitacion,Frutas de Exportacion Olmos S.A.,Miguel Torres,2,1092.81,2185.62
2023-01-26,Arequipa,Dashboard Corporativo,Licencias,Hoteles Cusco Imperial S.A.C.,Jorge Salazar,2,6900.66,13801.32
2023-01-26,Cusco,Capacitacion Analytics,Capacitacion,Energia Renovable Ica S.A.C.,Carlos Mendoza,8,1383.82,11070.56
2023-01-29,Trujillo,Dashboard Corporativo,Licencias,Universidad Tecnologica del Pacifico,Ana Quispe,3,5980.57,17941.71
2023-01-29,Lima,Dashboard Corporativo,Licencias,Banco Continental del Sur S.A.A.,Miguel Torres,7,5728.26,40097.82
2023-01-29,Trujillo,Dashboard Corporativo,Licencias,Turismo Machu Travel S.A.C.,Carlos Mendoza,6,6570.33,39421.98
2023-01-31,Lima,Migracion Cloud,Consultoria,Universidad Tecnologica del Pacifico,Rosa Huaman,8,20954.12,167632.96
2023-01-31,Piura,Data Warehouse,Licencias,Clinica San Bernardo S.A.,Patricia Vargas,2,32338.16,64676.32
2023-02-01,Trujillo,Migracion Cloud,Consultoria,Cerveceria Del Valle S.A.C.,Jorge Salazar,3,22559.87,67679.61
2023-02-02,Arequipa,Migracion Cloud,Consultoria,Frutas de Exportacion Olmos S.A.,Rosa Huaman,5,16805.92,84029.6
2023-02-05,Cusco,Auditoria de Datos,Consultoria,Aguas Cristalinas del Norte S.A.,Patricia Vargas,5,9014.99,45074.95
2023-02-09,Lima,Dashboard Corporativo,Licencias,Financiera Credi Andes S.A.,Jorge Salazar,4,4219.42,16877.68
2023-02-09,Lima,Capacitacion Analytics,Capacitacion,Inversiones Miraflores S.A.C.,Carlos Mendoza,6,1652.04,9912.24
2023-02-10,Piura,Capacitacion Analytics,Capacitacion,Grupo Logistico Callao S.A.,Ana Quispe,2,1237.06,2474.12
2023-02-11,Lima,Auditoria de Datos,Consultoria,Pesquera Costa Azul S.A.C.,Jorge Salazar,2,6366.55,12733.1
2023-02-12,Arequipa,Dashboard Corporativo,Licencias,Textiles Pima Norte S.A.C.,Diego Fernandez,2,5560.27,11120.54
2023-02-13,Cusco,Dashboard Corporativo,Licencias,Tecnologia Medica Vitalis S.A.C.,Diego Fernandez,7,3947.98,27635.86
2023-02-13,Trujillo,Capacitacion Analytics,Capacitacion,Textiles Pima Norte S.A.C.,Rosa Huaman,1,631.27,631.27
2023-02-14,Cusco,Dashboard Corporativo,Licencias,Seguridad Integral Halcon S.A.C.,Miguel Torres,2,6443.89,12887.78
2023-02-18,Piura,Auditoria de Datos,Consultoria,Clinica San Bernardo S.A.,Diego Fernandez,2,9231.38,18462.76
2023-02-20,Lima,Auditoria de Datos,Consultoria,Supermercados Mi Barrio S.A.C.,Miguel Torres,8,4291.36,34330.88
2023-02-20,Piura,Dashboard Corporativo,Licencias,Automotriz Lima Norte S.A.C.,Patricia Vargas,2,5475.66,10951.32
2023-02-21,Lima,Data Warehouse,Licencias,Automotriz Lima Norte S.A.C.,Jorge Salazar,1,26169.29,26169.29
2023-02-21,Lima,Migracion Cloud,Consultoria,Tecnologia Medica Vitalis S.A.C.,Miguel Torres,7,11787.78,82514.46
2023-02-22,Lima,Integracion ERP,Consultoria,Consorcio Vial Sierra Sur S.A.,Carlos Mendoza,1,15488.46,15488.46
2023-02-22,Lima,Migracion Cloud,Consultoria,Aceros del Rimac S.A.A.,Lucia Ramirez,8,19014.0,152112.0
2023-02-22,Arequipa,Dashboard Corporativo,Licencias,Constructora Los Incas S.A.,Carlos Mendoza,7,3428.96,24002.72
2023-02-24,Lima,Dashboard Corporativo,Licencias,Universidad Tecnologica del Pacifico,Miguel Torres,8,3247.74,25981.92
2023-02-25,Lima,Data Warehouse,Licencias,Supermercados Mi Barrio S.A.C.,Jorge Salazar,8,24463.68,195709.44
2023-02-25,Cusco,Integracion ERP,Consultoria,Corporacion Avicola Piurana S.A.,Carlos Mendoza,9,11847.17,106624.53
2023-02-26,Arequipa,Dashboard Corporativo,Licencias,Inversiones Miraflores S.A.C.,Miguel Torres,2,4485.45,8970.9
2023-02-28,Trujillo,Capacitacion Analytics,Capacitacion,Universidad Tecnologica del Pacifico,Rosa Huaman,7,1600.37,11202.59
2023-03-01,Lima,Dashboard Corporativo,Licencias,Telecom Peru Conecta S.A.C.,Ana Quispe,3,6821.41,20464.23
2023-03-01,Arequipa,Integracion ERP,Consultoria,Textiles Pima Norte S.A.C.,Lucia Ramirez,5,9717.31,48586.55
2023-03-01,Trujillo,Capacitacion Analytics,Capacitacion,Turismo Machu Travel S.A.C.,Rosa Huaman,10,922.93,9229.3
2023-03-03,Lima,Dashboard Corporativo,Licencias,Editorial Amauta S.A.C.,Patricia Vargas,10,3679.03,36790.3
2023-03-05,Arequipa,Auditoria de Datos,Consultoria,Cementos Huascaran S.A.A.,Rosa Huaman,8,10228.81,81830.48
2023-03-06,Trujillo,Auditoria de Datos,Consultoria,Supermercados Mi Barrio S.A.C.,Rosa Huaman,2,7512.28,15024.56
2023-03-07,Piura,Capacitacion Analytics,Capacitacion,Hoteles Cusco Imperial S.A.C.,Patricia Vargas,10,814.43,8144.3
2023-03-07,Trujillo,Dashboard Corporativo,Licencias,Tecnologia Medica Vitalis S.A.C.,Lucia Ramirez,6,6814.03,40884.18
2023-03-08,Arequipa,Capacitacion Analytics,Capacitacion,Clinica San Bernardo S.A.,Patricia Vargas,8,1202.69,9621.52
2023-03-09,Arequipa,Capacitacion Analytics,Capacitacion,Agroindustrias Chavimochic S.A.,Miguel Torres,9,1612.68,14514.12
2023-03-10,Lima,Auditoria de Datos,Consultoria,Inversiones Miraflores S.A.C.,Ana Quispe,6,7495.59,44973.54
2023-03-15,Piura,Capacitacion Analytics,Capacitacion,Tecnologia Medica Vitalis S.A.C.,Rosa Huaman,1,1011.54,1011.54
